City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,maturin,9.75,-63.1767,297.06,100,100,2.06,VE,1691617671
84,haiku-pauwela,20.9219,-156.3051,301.62,58,40,9.26,US,1691617382
85,bredasdorp,-34.5322,20.0403,283.54,93,1,0.84,ZA,1691617377
86,st. john's,47.5649,-52.7093,287.47,85,100,6.69,CA,1691617423
87,sai buri,6.7013,101.6168,297.69,88,90,2.28,TH,1691617671
88,iqaluit,63.7506,-68.5145,278.0,100,100,4.12,CA,1691617430
89,longyearbyen,78.2186,15.6401,283.06,71,0,3.6,SJ,1691617477
90,mugia,43.1041,-9.2179,294.21,79,98,6.21,ES,1691617526
91,beyneu,45.3167,55.2,303.2,24,9,3.77,KZ,1691617667
92,port lincoln,-34.7333,135.8667,283.77,72,53,3.61,AU,1691617530
93,westport,41.1415,-73.3579,303.76,47,20,5.14,US,1691617473
94,tura,25.5198,90.2201,296.51,98,100,0.92,IN,1691617374
95,san antonio de pale,-1.4014,5.6325,296.82,82,89,5.58,GQ,1691617574
96,adelaide,-34.9333,138.6,285.0,81,20,5.14,AU,1691617494
97,kiama,-34.6833,150.8667,288.96,59,88,1.34,AU,1691617672
98,vorgashor,67.5833,63.95,280.62,90,25,3.15,RU,1691617531
99,suva,-18.1416,178.4415,294.86,94,75,3.09,FJ,1691617673
100,kurumkan,54.3,110.3,290.22,96,100,1.76,RU,1691617673
101,neftegorsk,52.802,51.166,291.38,61,1,1.8,RU,1691617673
102,margaret river,-33.95,115.0667,283.58,80,100,1.59,AU,1691617493
103,carnarvon,-24.8667,113.6333,292.45,74,22,4.22,AU,1691617594
104,saint-francois,46.4154,3.9054,292.41,77,0,0.51,FR,1691617673
105,georgetown,5.4112,100.3354,299.83,95,40,2.06,MY,1691617550
106,alice springs,-23.7,133.8833,278.9,70,1,0.0,AU,1691617653
107,moranbah,-22.0016,148.0466,287.59,81,0,4.08,AU,1691617673
108,port elizabeth,-33.918,25.5701,290.31,77,0,7.72,ZA,1691617479
109,itaituba,-4.2761,-55.9836,308.24,52,20,3.09,BR,1691617654
110,chibougamau,49.9168,-74.3659,296.94,43,20,4.63,CA,1691617674
